COUNTRY;ISO3;Human Development Inde;Multidimensional Poverty Inde;Development & Deprivation;Gender Inequality Inde;Gini Inde;Inequality;Total public Aid (M US$);Public Aid per capita (US$);Public Aid per capita (US$);Net ODA received (% of GNI);Aid Dependency Inde;INFORM Socio-Economic Vulnerability;Total Uprooted people (1,000 people);Uprooted people (total population);Total/Pop;Total Uprooted people (percentage of the total population);Uprooted people;Estimated number of people living with HIV - Adult (>15) rate;Tuberculosis prevalence;Malaria mortality rate;Health Conditions;Child Mortality;Malnutrition in children under 5;Children Under 5;Total affected by Natural Disasters last 3 years (1,000 people);Natural Disasters % of total pop;Recent Shocks;Food Availability Score;Food Utilization Score;Domestic Food Price Level Inde;Domestic Food Price Volatility Inde;Food Acces Score;Food Security;Other Vulnerable Groups;INFORM Vulnerable Groups
Canada;CAN;0,5;;0,5;1,3;2,2;1,8;0,1;0,002755852;0;;0;0,7;101,256;6,7;0,002790465;4,1;5,4;;0,1;;0,1;0,4;;0,4;106,45;0,002933604;0,3;1,5;0;0,3;3,6;1;0,8;0,4;3,3
Central African Republic;CAF;9,2;8,3;8,8;8,6;7,8;8,2;1098,379119;239,0576108;4,8;10;7,4;8,3;576,718;9,2;0,125520255;10;9,6;8;7,4;9,6;8,3;9,5;5,2;7,4;5,319;0,001157658;0,1;9,3;10;;;;9,7;7,5;8,8
Chad;TCD;8,5;10;9,4;9,3;4,6;7;1074,184148;74,32492316;1,5;4,4;3;7,2;534,424;9,1;0,036977852;7,8;8,5;2,6;2,8;10;5,1;9,8;6,4;8,1;1887,452;0,130596532;10;6,4;9,2;7,8;;7,8;7,8;8,3;8,4
Chile;CHL;1,6;;1,6;4,3;6,4;5,4;203,126841;11,34168794;0,2;0;0,1;2,2;1,736;0,8;9,69E-05;1,8;1,3;1;0,3;;0,7;0,6;0,1;0,4;235,9135;0,013172347;1,3;3,7;0;1,8;3,7;2,2;2;1,1;1,2
China;CHN;3,3;0;1,8;2,2;4,3;3,3;-266,238388;-0,19311319;0;0;0;1,7;317,238;8,3;0,000230105;2,2;5,3;0,2;1,2;0;0,5;0,8;0,8;0,8;50239,3615;0,036440588;3,6;2,8;1,5;2,5;4,1;2,8;2,4;1,9;3,8
Colombia;COL;3,4;0;1,9;5,2;7,1;6,2;2378,212827;48,88069178;1;0,3;0,7;2,7;7246,135;10;0,148933723;10;10;0,8;0,6;0,1;0,5;1,2;0,8;1;51,02075;0,001048657;0,1;3,3;0,7;1,9;2,3;2;2;0,9;7,7
Comoros;COM;7;2,6;5,2;;7,7;7,7;48,061076;60,40851633;1,2;5,9;3,6;5,4;0;0;0;0;0;0,2;0,6;5,8;2,2;5,6;3,8;4,7;0;0;0;5,9;9;;;;7,5;4,2;2,3
Congo;COG;5,5;3,2;4,4;7,9;6;7;66,98;13,06717499;0,3;0,8;0,6;4,1;138,004;7,1;0,026923297;7,2;7,2;6,2;6,9;8,7;7,3;4,2;2,7;3,5;0;0;0;6,7;7,7;5,9;9,4;6,6;7;5,1;6,3
Congo DR;COD;7,9;7,1;7,5;8,8;4,3;6,6;2389,98;30,35429011;0,6;4,5;2,6;6,1;4315,203;10;0,054805866;8,6;9,3;1,4;5,9;8,9;5,4;7,3;5,2;6,3;70,27725;0,000892566;0,1;9,3;10;;;;9,7;6,6;8,3
Costa Rica;CRI;2,7;;2,7;4,1;5,9;5;165,365375;34,04489329;0,7;0,1;0,4;2,7;4,414;2,1;0,00090874;3,1;2,6;0,8;0,2;0;0,3;0,7;0,2;0,5;35,95;0,007401271;0,7;4,4;0,2;2,5;3,8;2,8;2,5;1;1,8
